data;store_id;sku;qty
03/08/2019;9999999;755102022213;3;
03/08/2019;9999999;756332142214;17;
03/08/2019;9999999;756332NM2214;4;
03/08/2019;9999999;756684022219;1;
03/08/2019;9999999;7605019O0001;1;
03/08/2019;9999999;7607263L0003;2;
03/08/2019;9999999;760965CK0418;1;
03/08/2019;9999999;762749020007;10;
03/08/2019;9999999;763427000007;13;
03/08/2019;9999999;763429000005;2;
03/08/2019;9999999;763430000001;10;
03/08/2019;9999999;764502020002;2;
03/08/2019;9999999;764502060008;9;
03/08/2019;9999999;765616320101;2;
03/08/2019;9999999;765616320125;1;
03/08/2019;9999999;765632020085;4;
03/08/2019;9999999;765632020108;19;
03/08/2019;9999999;765632N30103;6;
03/08/2019;9999999;765632N30127;5;
03/08/2019;9999999;766592040007;4;
03/08/2019;9999999;766593040006;4;
03/08/2019;9999999;766593EZ0007;6;
03/08/2019;9999999;766596040003;7;
03/08/2019;9999999;766596060001;1;
03/08/2019;9999999;766597030003;2;
03/08/2019;9999999;7665973W0004;7;
03/08/2019;9999999;766600040005;2;
03/08/2019;9999999;766600EZ0000;3;
03/08/2019;9999999;768635010008;2;
03/08/2019;9999999;768635020007;1;
03/08/2019;9999999;768898010005;5;
03/08/2019;9999999;768898012030;1;
03/08/2019;9999999;768898020004;1;
03/08/2019;9999999;768898022039;1;
03/08/2019;9999999;768898022053;1;
03/08/2019;9999999;768981030008;8;
03/08/2019;9999999;768981050006;8;
03/08/2019;9999999;768981EZ0002;14;
03/08/2019;9999999;769602002033;14;
03/08/2019;9999999;769602002040;16;
03/08/2019;9999999;769603020005;13;
03/08/2019;9999999;769603040003;14;
03/08/2019;9999999;771045320001;1;
03/08/2019;9999999;771045CV0003;2;
03/08/2019;9999999;772201330001;3;
03/08/2019;9999999;773896022028;1;
03/08/2019;9999999;773896022059;3;
03/08/2019;9999999;774847042034;20;
03/08/2019;9999999;774847042041;15;
03/08/2019;9999999;775219020001;4;
03/08/2019;9999999;775220020007;3;
03/08/2019;9999999;775221040000;8;
03/08/2019;9999999;775222020005;3;
03/08/2019;9999999;775223020004;3;
03/08/2019;9999999;775223NM0009;4;
03/08/2019;9999999;775224020003;6;
03/08/2019;9999999;775225020002;5;
03/08/2019;9999999;7752252R0000;6;
03/08/2019;9999999;775225Q20005;5;
03/08/2019;9999999;775228020009;5;
03/08/2019;9999999;775228250000;5;
03/08/2019;9999999;775228EZ0008;1;
03/08/2019;9999999;775229020008;6;
03/08/2019;9999999;775229NM0003;4;
03/08/2019;9999999;775231020003;15;
03/08/2019;9999999;775231040001;5;
03/08/2019;9999999;775231160006;6;
03/08/2019;9999999;775233010002;4;
03/08/2019;9999999;775233040009;2;
03/08/2019;9999999;775234010001;11;
03/08/2019;9999999;7752363J0001;7;
03/08/2019;9999999;775237EZ0002;1;
03/08/2019;9999999;7759592V0006;9;
03/08/2019;9999999;7759593X0001;6;
03/08/2019;9999999;776080810001;5;
03/08/2019;9999999;780071000009;6;
03/08/2019;9999999;782449020008;1;
03/08/2019;9999999;787244020000;10;
03/08/2019;9999999;787245020009;8;
03/08/2019;9999999;787247020007;3;
03/08/2019;9999999;787248020006;6;
03/08/2019;9999999;787249020005;7;
03/08/2019;9999999;787260020008;4;
03/08/2019;9999999;787267020001;12;
